INFO 2026-01-15 15:30:50,273 autoreload Watching for file changes with StatReloader
DEBUG 2026-01-15 15:30:50,353 autoreload File C:\Python313\Lib\email\headerregistry.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,353 autoreload File C:\Python313\Lib\json\scanner.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,354 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1756806607.885311
DEBUG 2026-01-15 15:30:50,354 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\template\response.py first seen with mtime 1756806607.9443524
DEBUG 2026-01-15 15:30:50,354 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\constants.py first seen with mtime 1756806607.9153328
DEBUG 2026-01-15 15:30:50,354 autoreload File C:\Python313\Lib\logging\config.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,354 autoreload File C:\Python313\Lib\decimal.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,354 autoreload File C:\Python313\Lib\asyncio\streams.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,354 autoreload File C:\Python313\Lib\asyncio\taskgroups.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,354 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1756806607.8793056
DEBUG 2026-01-15 15:30:50,354 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1756806607.2985706
DEBUG 2026-01-15 15:30:50,355 autoreload File C:\Python313\Lib\email\policy.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,355 autoreload File D:\Programmation\mediatheque\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1756806607.153228
DEBUG 2026-01-15 15:30:50,355 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1756806607.299071
DEBUG 2026-01-15 15:30:50,355 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1756806607.9553552
DEBUG 2026-01-15 15:30:50,355 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\files\images.py first seen with mtime 1756806607.8868105
DEBUG 2026-01-15 15:30:50,355 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1756806607.9198294
DEBUG 2026-01-15 15:30:50,355 autoreload File C:\Python313\Lib\asyncio\runners.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,356 autoreload File C:\Python313\Lib\wsgiref\headers.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,356 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\apps\__init__.py first seen with mtime 1756806607.216006
DEBUG 2026-01-15 15:30:50,356 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1756806607.895322
DEBUG 2026-01-15 15:30:50,356 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1756806607.9213295
DEBUG 2026-01-15 15:30:50,356 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1756806607.9428425
DEBUG 2026-01-15 15:30:50,356 autoreload File C:\Python313\Lib\socket.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,356 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\forms\forms.py first seen with mtime 1756806607.9248345
DEBUG 2026-01-15 15:30:50,356 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1756806607.9513502
DEBUG 2026-01-15 15:30:50,356 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1756806607.8828056
DEBUG 2026-01-15 15:30:50,357 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1756806607.4614532
DEBUG 2026-01-15 15:30:50,357 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1756806607.884311
DEBUG 2026-01-15 15:30:50,357 autoreload File C:\Python313\Lib\email\quoprimime.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,357 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\migrations\optimizer.py first seen with mtime 1756806607.9123244
DEBUG 2026-01-15 15:30:50,357 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1756806607.9243345
DEBUG 2026-01-15 15:30:50,357 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\views\decorators\http.py first seen with mtime 1756806607.9608557
DEBUG 2026-01-15 15:30:50,357 autoreload File C:\Python313\Lib\contextvars.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,357 autoreload File C:\Python313\Lib\heapq.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,357 autoreload File D:\Programmation\mediatheque\mediatheque_project\manage.py first seen with mtime 1764254449.900406
DEBUG 2026-01-15 15:30:50,357 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1756806607.9108243
DEBUG 2026-01-15 15:30:50,358 autoreload File C:\Python313\Lib\email\mime\text.py first seen with mtime 1755178382.0
DEBUG 2026-01-15 15:30:50,358 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1756806607.4609537
DEBUG 2026-01-15 15:30:50,358 autoreload File D:\Programmation\mediatheque\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1756806607.9558551
